qb_orientation,result
326.48,3.0
332.82,2.0
322.27,2.0
302.26,4.0
309.51,2.0
147.45,0.0
187.71,0.0
100.96,4.0
173.08,2.0
318.59,4.0
237.03,1.0
257.02,0.0
246.52,1.0
347.88,4.0
335.3,3.0
155.12,1.0
194.77,1.0
142.45,0.0
11.08,3.0
75.57,4.0
24.78,4.0
60.0,3.0
262.89,0.0
279.24,1.0
249.32,0.0
228.97,1.0
15.38,3.0
332.35,3.0
52.79,2.0
115.01,2.0
332.77,4.0
328.26,3.0
246.29,0.0
78.8,2.0
267.05,0.0
224.56,2.0
82.06,2.0
113.71,3.0
113.06,4.0
301.51,2.0
287.45,1.0
344.15,2.0
320.57,2.0
79.56,3.0
87.45,0.0
201.9,0.0
200.95,
358.73,2.0
265.33,0.0
4.82,4.0
160.26,1.0
139.07,0.0
219.97,0.0
205.43,1.0
330.81,2.0
231.22,0.0
348.93,4.0
316.84,3.0
330.85,2.0
336.93,3.0
319.83,2.0
297.65,2.0
330.21,3.0
343.17,4.0
253.27,0.0
312.65,4.0
244.08,0.0
127.59,0.0
76.87,1.0
116.32,2.0
3.18,4.0
107.13,0.0
323.56,2.0
163.33,0.0
24.31,3.0
268.32,3.0
340.47,3.0
99.81,1.0
351.88,3.0
122.1,2.0
346.34,4.0
9.98,3.0
223.14,1.0
243.57,0.0
337.79,2.0
336.76,3.0
78.86,3.0
293.04,2.0
191.24,0.0
351.14,2.0
67.23,1.0
154.19,1.0
219.85,0.0
302.72,3.0
285.01,0.0
358.26,2.0
206.76,1.0
337.51,3.0
331.35,3.0
39.3,3.0
135.37,0.0
207.05,1.0
265.99,4.0
142.2,0.0
38.07,3.0
233.35,0.0
260.62,1.0
225.72,1.0
270.92,0.0
45.15,0.0
87.53,2.0
86.27,3.0
338.12,3.0
327.59,1.0
249.36,2.0
311.24,3.0
241.06,1.0
74.63,2.0
155.41,1.0
73.34,2.0
166.08,2.0
85.69,0.0
47.76,2.0
27.61,4.0
56.7,3.0
99.93,2.0
242.04,2.0
255.33,2.0
216.01,2.0
209.03,0.0
141.29,0.0
7.76,2.0
168.36,0.0
251.07,0.0
226.86,0.0
55.1,3.0
328.74,3.0
186.8,0.0
280.05,
22.42,2.0
17.77,2.0
43.33,1.0
162.39,0.0
237.54,1.0
29.58,3.0
229.74,1.0
270.57,1.0
137.2,0.0
286.48,
293.58,4.0
85.83,0.0
140.36,1.0
21.34,2.0
300.44,2.0
221.51,1.0
286.36,0.0
282.45,1.0
201.54,0.0
20.79,0.0
351.53,2.0
68.27,
155.11,1.0
228.77,1.0
149.04,2.0
20.49,2.0
159.72,1.0
346.81,2.0
0.17,4.0
33.94,2.0
144.45,1.0
260.18,2.0
42.65,2.0
221.36,1.0
247.42,1.0
189.61,1.0
24.34,2.0
23.12,2.0
156.85,1.0
263.05,1.0
148.89,1.0
266.46,2.0
97.74,2.0
102.11,3.0
321.08,3.0
249.89,0.0
323.34,1.0
59.91,3.0
273.37,2.0
97.28,2.0
233.48,2.0
127.06,0.0
76.08,3.0
343.11,
217.74,1.0
313.1,4.0
165.87,1.0
125.13,0.0
356.23,4.0
292.51,3.0
219.52,0.0
214.1,0.0
275.29,0.0
121.18,1.0
140.19,0.0
149.4,0.0
300.4,3.0
333.6,
138.56,0.0
73.86,3.0
344.31,4.0
230.31,1.0
290.9,1.0
129.51,
101.62,1.0
72.72,3.0
129.5,0.0
104.61,1.0
31.93,3.0
105.14,1.0
245.25,0.0
171.84,1.0
107.16,2.0
155.55,0.0
37.05,3.0
132.73,3.0
169.66,0.0
38.3,4.0
300.69,4.0
338.07,3.0
240.59,1.0
240.15,0.0
336.64,3.0
338.82,3.0
48.82,4.0
96.75,0.0
201.1,1.0
325.26,2.0
318.76,2.0
332.74,3.0
127.67,1.0
321.42,3.0
313.93,3.0
232.27,0.0
121.49,2.0
159.22,0.0
83.07,1.0
214.7,1.0
69.53,3.0
139.42,1.0
153.6,0.0
15.97,4.0
133.21,0.0
67.81,3.0
42.46,3.0
111.63,0.0
193.5,1.0
209.81,0.0
266.02,1.0
36.21,3.0
30.86,3.0
51.4,0.0
93.05,2.0
151.49,1.0
329.84,3.0
325.49,4.0
185.65,2.0
311.98,4.0
224.25,3.0
145.47,1.0
152.58,1.0
78.68,2.0
51.03,3.0
88.31,3.0
121.28,2.0
325.44,2.0
348.28,2.0
63.91,2.0
138.24,1.0
148.49,1.0
69.11,3.0
62.15,4.0
17.18,4.0
31.87,4.0
43.29,2.0
338.82,2.0
168.39,1.0
99.57,2.0
25.1,4.0
171.24,0.0
134.02,1.0
118.56,0.0
35.05,3.0
88.23,2.0
128.25,1.0
44.98,2.0
281.41,2.0
136.7,0.0
345.57,4.0
328.53,3.0
311.51,4.0
171.02,0.0
41.67,3.0
97.13,4.0
0.86,4.0
343.6,4.0
130.0,2.0
89.56,3.0
119.2,1.0
85.0,3.0
104.45,2.0
191.11,1.0
332.56,4.0
236.16,0.0
184.42,0.0
47.9,4.0
162.38,0.0
165.55,0.0
0.03,2.0
228.03,0.0
66.87,2.0
86.18,3.0
165.2,2.0
25.29,4.0
138.04,2.0
246.35,0.0
249.24,0.0
149.5,0.0
317.27,3.0
255.75,2.0
187.54,
162.82,0.0
116.95,1.0
125.84,1.0
280.0,0.0
184.43,
229.05,0.0
247.42,
82.4,3.0
151.16,1.0
78.88,2.0
116.37,0.0
136.2,1.0
113.33,2.0
258.9,2.0
293.56,3.0
208.03,1.0
337.79,4.0
249.82,0.0
348.59,3.0
349.05,2.0
173.04,0.0
56.55,2.0
64.49,3.0
136.44,1.0
52.29,2.0
167.8,1.0
92.35,2.0
63.56,4.0
14.2,3.0
355.1,2.0
120.72,1.0
66.75,2.0
103.91,2.0
188.44,0.0
126.23,2.0
151.53,0.0
179.33,0.0
233.64,1.0
322.71,2.0
44.55,0.0
333.33,4.0
311.68,3.0
322.47,3.0
323.01,4.0
243.33,0.0
251.52,1.0
315.79,1.0
334.14,4.0
343.61,2.0
155.56,0.0
134.05,1.0
276.28,0.0
325.48,3.0
319.25,3.0
260.46,2.0
61.81,3.0
129.73,2.0
10.23,0.0
10.72,2.0
257.74,0.0
88.38,4.0
146.71,1.0
330.61,2.0
340.18,4.0
322.43,4.0
337.77,2.0
220.84,0.0
238.14,1.0
324.04,2.0
252.47,0.0
136.85,1.0
178.86,0.0
146.59,1.0
282.57,3.0
106.67,2.0
79.32,2.0
55.79,3.0
96.33,3.0
53.41,3.0
72.21,4.0
329.49,3.0
223.26,0.0
228.25,0.0
115.17,0.0
119.25,2.0
327.74,2.0
320.13,4.0
151.45,2.0
49.79,2.0
71.82,2.0
328.37,2.0
350.69,
6.74,3.0
55.33,3.0
127.77,0.0
104.06,3.0
56.62,4.0
159.5,0.0
65.96,4.0
254.61,1.0
115.72,4.0
96.69,4.0
92.32,3.0
61.6,3.0
145.72,0.0
47.05,4.0
160.93,1.0
155.5,2.0
54.58,4.0
152.6,0.0
202.96,0.0
168.66,1.0
117.77,0.0
176.72,0.0
240.2,0.0
74.08,3.0
80.86,4.0
146.59,1.0
68.5,3.0
49.94,4.0
186.2,0.0
215.37,0.0
87.82,0.0
56.08,2.0
108.23,2.0
110.59,1.0
146.92,2.0
256.6,1.0
228.02,0.0
344.95,2.0
344.29,
202.73,1.0
43.32,3.0
136.86,0.0
125.19,2.0
24.44,3.0
146.14,0.0
231.79,0.0
224.89,0.0
326.91,2.0
234.7,0.0
35.43,4.0
54.6,3.0
151.29,0.0
232.7,1.0
62.42,3.0
135.61,1.0
59.58,
74.09,3.0
74.62,2.0
148.98,0.0
233.85,0.0
330.65,
245.29,0.0
347.34,2.0
331.28,4.0
114.4,1.0
103.99,0.0
53.97,2.0
80.0,3.0
101.62,1.0
91.79,2.0
83.18,2.0
279.4,1.0
355.89,4.0
100.39,3.0
27.47,3.0
112.46,0.0
129.49,1.0
145.81,0.0
149.84,0.0
23.5,2.0
153.51,1.0
161.7,0.0
197.24,0.0
336.73,
339.5,1.0
266.38,0.0
329.9,3.0
281.93,2.0
97.46,3.0
78.71,0.0
314.71,2.0
343.93,3.0
290.38,2.0
101.25,1.0
51.05,4.0
38.13,3.0
243.33,4.0
264.69,3.0
319.67,0.0
243.7,1.0
279.61,1.0
68.22,3.0
48.83,
37.42,3.0
87.47,2.0
293.59,
172.54,1.0
49.75,1.0
75.22,2.0
282.77,2.0
321.41,2.0
77.96,2.0
139.65,2.0
274.75,1.0
303.23,1.0
176.97,0.0
114.55,2.0
331.46,2.0
224.75,0.0
11.08,4.0
191.03,0.0
44.43,2.0
240.45,0.0
88.13,2.0
85.06,3.0
190.34,1.0
175.59,1.0
153.68,0.0
325.07,3.0
296.16,3.0
270.96,1.0
108.77,0.0
189.14,1.0
315.87,3.0
253.81,1.0
309.34,4.0
193.07,2.0
61.39,3.0
149.36,2.0
171.53,
119.76,1.0
115.39,2.0
348.49,2.0
270.42,2.0
75.92,1.0
115.78,2.0
318.5,4.0
301.85,2.0
67.08,4.0
129.83,2.0
108.74,0.0
272.53,0.0
236.76,0.0
307.72,2.0
295.07,1.0
316.66,3.0
108.61,1.0
127.93,2.0
100.28,2.0
320.16,2.0
311.5,3.0
258.07,1.0
289.39,1.0
91.17,3.0
168.26,1.0
61.11,3.0
152.44,1.0
112.94,0.0
60.87,3.0
144.01,1.0
167.55,0.0
142.79,1.0
49.15,3.0
82.61,3.0
181.98,0.0
83.22,3.0
175.76,
112.22,3.0
255.97,1.0
252.6,0.0
146.5,1.0
166.18,1.0
90.08,4.0
148.85,0.0
91.61,3.0
168.33,0.0
143.62,2.0
168.62,0.0
176.73,0.0
260.68,0.0
231.76,1.0
221.85,1.0
134.87,2.0
42.63,4.0
92.75,1.0
90.98,1.0
117.67,3.0
230.55,2.0
239.46,0.0
146.03,0.0
99.23,2.0
69.23,
56.54,2.0
244.69,1.0
148.83,2.0
136.48,0.0
31.17,4.0
170.57,1.0
345.13,2.0
287.19,2.0
226.45,2.0
126.78,0.0
69.8,1.0
350.28,2.0
297.24,2.0
185.76,0.0
121.79,2.0
130.38,1.0
31.57,3.0
24.51,4.0
250.65,0.0
34.25,4.0
133.64,2.0
76.9,3.0
121.51,0.0
101.97,1.0
17.23,4.0
249.49,1.0
267.14,0.0
109.88,1.0
46.98,3.0
102.14,
146.15,0.0
236.69,0.0
2.22,2.0
189.71,2.0
264.96,3.0
197.4,2.0
283.93,4.0
211.3,0.0
25.49,3.0
31.9,3.0
47.31,4.0
121.56,1.0
168.49,0.0
215.79,1.0
245.67,1.0
335.03,
135.29,1.0
24.15,4.0
79.98,2.0
68.19,3.0
342.64,1.0
257.59,1.0
278.57,2.0
327.25,0.0
272.13,0.0
271.44,4.0
49.11,1.0
134.42,0.0
260.48,2.0
324.82,3.0
32.85,
163.54,1.0
5.46,2.0
124.85,2.0
33.65,4.0
137.63,0.0
231.6,0.0
323.42,1.0
262.91,0.0
201.12,0.0
307.94,2.0
98.75,2.0
156.62,1.0
115.81,1.0
68.14,2.0
114.63,0.0
98.29,0.0
92.52,2.0
170.84,0.0
82.44,2.0
112.42,0.0
279.44,1.0
229.6,1.0
309.28,2.0
109.36,2.0
290.75,3.0
219.95,0.0
225.06,0.0
308.5,4.0
318.73,3.0
278.56,1.0
114.91,1.0
252.42,0.0
154.71,0.0
72.48,
103.86,3.0
74.02,2.0
208.43,1.0
356.87,4.0
234.57,2.0
285.93,4.0
137.18,0.0
344.71,4.0
290.93,2.0
318.64,4.0
218.23,0.0
243.64,0.0
244.53,2.0
298.91,4.0
243.2,0.0
127.32,0.0
47.7,
108.7,3.0
95.61,2.0
262.46,2.0
267.51,1.0
327.16,2.0
222.19,3.0
248.37,2.0
243.34,0.0
0.23,4.0
236.14,1.0
242.29,1.0
246.79,0.0
261.79,1.0
150.62,1.0
63.48,
13.39,3.0
94.1,2.0
138.56,0.0
156.76,2.0
13.42,2.0
102.08,0.0
162.87,0.0
50.41,3.0
358.92,4.0
39.85,3.0
177.9,1.0
208.23,1.0
345.27,2.0
321.26,4.0
78.61,3.0
58.38,3.0
81.27,4.0
245.44,0.0
251.14,2.0
275.23,0.0
99.14,3.0
273.98,0.0
306.65,4.0
235.09,1.0
308.52,0.0
137.09,1.0
64.55,3.0
79.87,1.0
43.03,4.0
78.22,3.0
291.6,3.0
268.25,3.0
320.04,3.0
89.67,1.0
106.48,1.0
99.42,3.0
251.49,3.0
89.96,4.0
137.02,1.0
115.89,3.0
81.75,2.0
33.9,2.0
272.38,2.0
247.85,2.0
251.75,2.0
253.09,2.0
294.19,2.0
325.76,3.0
66.49,2.0
61.63,
34.92,2.0
64.31,2.0
312.99,2.0
333.89,1.0
335.36,3.0
95.71,1.0
151.58,1.0
60.26,4.0
163.99,1.0
83.03,3.0
139.99,1.0
152.26,0.0
78.97,0.0
78.84,1.0
43.06,2.0
154.31,0.0
107.92,2.0
312.62,2.0
324.08,0.0
327.42,3.0
18.93,4.0
293.56,0.0
333.3,
15.41,3.0
254.56,0.0
264.05,1.0
135.77,0.0
132.47,1.0
4.44,3.0
277.82,4.0
288.76,3.0
316.01,3.0
313.22,4.0
119.72,3.0
142.36,0.0
238.3,0.0
86.08,4.0
312.31,2.0
283.32,2.0
293.91,1.0
276.66,0.0
323.8,3.0
134.0,2.0
259.73,1.0
110.3,4.0
198.57,
76.99,4.0
271.29,1.0
311.6,2.0
322.55,3.0
315.88,4.0
221.28,1.0
267.26,0.0
259.53,0.0
150.49,2.0
67.93,3.0
171.2,1.0
132.15,1.0
67.78,2.0
213.71,1.0
105.12,2.0
349.98,2.0
333.76,2.0
277.09,1.0
126.02,1.0
62.22,2.0
304.12,2.0
112.26,1.0
115.89,0.0
24.18,3.0
290.74,2.0
258.55,1.0
299.61,3.0
237.98,0.0
84.91,4.0
176.88,0.0
47.48,3.0
356.11,2.0
299.12,2.0
263.6,2.0
356.49,4.0
128.18,0.0
111.48,3.0
169.69,1.0
154.84,0.0
174.73,1.0
116.48,1.0
171.8,0.0
327.09,3.0
304.12,4.0
247.84,0.0
62.74,1.0
238.51,3.0
227.66,2.0
168.35,1.0
323.57,1.0
137.85,2.0
170.65,1.0
165.95,1.0
131.59,0.0
47.72,3.0
18.99,3.0
259.19,0.0
329.88,2.0
145.1,
148.16,0.0
42.98,2.0
356.02,
206.76,0.0
312.98,2.0
94.31,2.0
208.7,0.0
285.92,2.0
232.55,0.0
119.55,1.0
49.26,3.0
237.59,1.0
358.98,3.0
43.05,3.0
313.82,3.0
307.03,2.0
167.33,1.0
318.97,4.0
329.29,3.0
5.39,
108.44,0.0
100.72,2.0
150.01,2.0
155.33,0.0
9.07,2.0
42.62,2.0
354.36,2.0
301.86,3.0
352.01,3.0
209.72,0.0
226.75,
271.8,0.0
26.52,4.0
196.97,0.0
349.35,2.0
290.59,2.0
283.35,2.0
300.71,2.0
274.82,2.0
347.72,4.0
264.48,1.0
301.49,3.0
251.01,0.0
324.88,4.0
64.59,3.0
92.52,0.0
236.04,0.0
189.99,1.0
98.36,4.0
181.6,0.0
154.82,1.0
328.41,3.0
126.1,0.0
295.71,1.0
250.74,1.0
317.97,2.0
99.35,4.0
126.99,1.0
112.42,1.0
138.12,2.0
101.6,1.0
270.6,2.0
301.54,2.0
285.63,3.0
224.14,2.0
346.47,0.0
178.79,0.0
129.88,4.0
7.96,3.0
87.16,2.0
125.14,2.0
164.8,0.0
151.21,1.0
58.5,3.0
341.7,4.0
309.07,4.0
297.62,1.0
80.81,1.0
149.42,1.0
326.3,3.0
243.32,2.0
135.58,0.0
116.3,1.0
314.0,2.0
244.98,1.0
111.69,2.0
103.41,3.0
153.96,2.0
66.58,3.0
6.39,3.0
131.86,1.0
68.44,3.0
100.74,0.0
151.05,1.0
121.07,0.0
143.88,1.0
105.69,4.0
134.58,3.0
78.89,1.0
139.68,
95.34,2.0
122.95,3.0
122.73,0.0
136.27,3.0
116.49,0.0
73.89,3.0
213.28,0.0
344.55,2.0
315.62,2.0
313.28,3.0
252.73,2.0
65.13,2.0
174.89,0.0
114.61,1.0
359.11,4.0
237.24,1.0
42.29,3.0
317.42,1.0
343.26,4.0
14.02,3.0
221.75,0.0
258.57,1.0
120.63,2.0
72.44,3.0
13.53,2.0
232.05,2.0
235.45,0.0
325.75,4.0
204.13,0.0
276.75,2.0
109.08,2.0
68.62,4.0
135.9,1.0
60.42,3.0
17.21,3.0
60.55,3.0
155.64,0.0
37.67,4.0
51.7,4.0
59.88,3.0
87.47,2.0
252.96,
222.2,2.0
246.19,1.0
341.15,3.0
73.1,4.0
154.26,0.0
359.88,3.0
326.6,4.0
323.53,3.0
35.58,4.0
339.04,0.0
262.39,1.0
306.33,1.0
254.54,1.0
260.89,0.0
311.13,3.0
261.26,0.0
334.37,4.0
334.38,3.0
335.95,3.0
234.3,0.0
317.1,4.0
126.89,2.0
153.48,0.0
325.19,3.0
346.46,2.0
323.82,3.0
290.0,4.0
281.86,3.0
301.44,
144.72,0.0
217.15,1.0
223.51,1.0
357.59,4.0
133.38,2.0
85.06,2.0
14.48,
127.32,0.0
140.54,0.0
173.07,0.0
73.03,3.0
180.39,1.0
238.5,1.0
119.88,1.0
126.41,0.0
59.87,3.0
331.65,1.0
90.87,1.0
171.01,0.0
191.33,0.0
84.58,2.0
43.82,2.0
305.32,4.0
313.06,4.0
310.72,3.0
152.15,3.0
103.82,3.0
329.07,4.0
342.52,3.0
175.71,1.0
162.87,0.0
131.51,0.0
158.31,1.0
30.42,2.0
112.79,2.0
60.56,2.0
161.85,0.0
264.63,2.0
356.34,4.0
332.86,4.0
324.06,3.0
244.03,
354.32,3.0
286.21,1.0
90.63,2.0
117.27,1.0
345.91,2.0
3.74,1.0
159.88,1.0
147.29,2.0
237.11,0.0
244.89,1.0
334.51,3.0
250.83,0.0
336.11,3.0
236.17,0.0
337.29,2.0
334.56,2.0
185.89,0.0
358.13,1.0
237.52,1.0
322.83,3.0
306.3,3.0
238.69,0.0
160.56,1.0
116.5,1.0
112.86,4.0
330.75,4.0
318.41,2.0
298.01,2.0
294.3,0.0
291.35,2.0
89.22,2.0
146.86,2.0
205.92,1.0
354.29,4.0
306.38,
225.08,1.0
343.29,4.0
294.36,3.0
135.8,0.0
282.74,3.0
189.74,0.0
193.97,1.0
200.23,0.0
218.07,2.0
229.03,1.0
135.0,2.0
44.85,2.0
35.55,1.0
350.14,1.0
130.25,2.0
356.65,2.0
341.69,2.0
4.05,3.0
356.27,4.0
263.67,0.0
13.98,2.0
12.72,4.0
31.32,2.0
182.12,0.0
222.87,0.0
324.27,2.0
202.85,0.0
46.06,3.0
97.28,1.0
153.79,0.0
13.23,3.0
83.39,1.0
60.06,4.0
355.72,4.0
318.44,4.0
256.71,1.0
222.02,0.0
328.16,3.0
340.31,4.0
171.6,0.0
22.32,4.0
261.75,3.0
265.23,3.0
16.11,4.0
171.69,2.0
128.19,1.0
327.45,3.0
231.6,3.0
176.12,0.0
105.39,1.0
205.43,0.0
37.38,1.0
22.27,1.0
10.5,2.0
25.72,2.0
32.97,2.0
355.33,0.0
183.52,0.0
10.98,4.0
162.23,0.0
13.05,3.0
13.35,4.0
146.24,0.0
205.26,0.0
313.13,2.0
17.11,2.0
44.59,3.0
344.22,3.0
307.86,0.0
353.58,4.0
297.54,1.0
136.7,0.0
21.98,3.0
139.41,0.0
76.87,2.0
12.86,4.0
318.97,2.0
249.86,1.0
243.97,1.0
224.57,0.0
133.9,1.0
252.12,0.0
323.67,3.0
230.82,2.0
320.61,0.0
224.68,1.0
359.1,3.0
82.75,4.0
52.36,1.0
112.13,2.0
231.98,1.0
356.5,2.0
147.49,2.0
154.13,0.0
165.88,0.0
191.03,2.0
162.17,0.0
267.11,0.0
285.45,2.0
169.77,0.0
40.71,3.0
262.0,0.0
313.97,3.0
343.71,1.0
318.25,1.0
307.25,2.0
229.1,2.0
113.9,2.0
69.37,3.0
129.46,2.0
93.18,2.0
221.33,0.0
128.2,0.0
316.9,
245.25,1.0
10.78,2.0
330.62,2.0
323.55,3.0
280.77,2.0
38.46,3.0
67.36,2.0
103.94,3.0
341.02,2.0
262.79,1.0
296.54,1.0
103.82,1.0
78.83,2.0
315.94,4.0
229.32,3.0
197.83,2.0
29.37,3.0
155.95,1.0
245.18,0.0
181.24,2.0
178.92,1.0
27.51,1.0
211.94,1.0
173.22,1.0
49.82,4.0
47.94,4.0
164.94,0.0
186.62,0.0
94.49,2.0
89.38,1.0
49.0,3.0
144.72,
100.38,1.0
219.56,0.0
171.16,0.0
152.3,1.0
237.45,0.0
120.4,1.0
67.43,4.0
168.62,1.0
333.3,
209.33,0.0
66.21,2.0
74.24,2.0
52.58,4.0
130.45,1.0
226.72,0.0
62.85,2.0
248.82,0.0
169.32,1.0
144.01,1.0
13.96,4.0
242.46,2.0
252.64,1.0
277.99,2.0
299.65,1.0
184.8,1.0
160.89,0.0
146.59,1.0
72.77,1.0
93.58,2.0
149.2,0.0
299.38,3.0
332.51,2.0
96.79,2.0
115.61,1.0
247.18,2.0
284.06,2.0
303.69,2.0
91.57,1.0
312.24,4.0
316.71,
222.42,0.0
235.94,0.0
160.1,0.0
292.74,1.0
294.09,2.0
149.42,1.0
143.9,1.0
36.41,3.0
125.43,1.0
282.33,2.0
305.78,2.0
273.33,0.0
123.65,1.0
160.04,1.0
313.95,0.0
329.2,4.0
47.09,4.0
47.74,4.0
55.48,4.0
54.91,2.0
58.15,4.0
271.07,1.0
248.35,0.0
339.56,3.0
234.58,0.0
138.23,0.0
109.35,2.0
124.86,2.0
65.48,2.0
115.28,2.0
61.52,3.0
46.92,4.0
153.29,0.0
126.26,1.0
284.79,1.0
89.47,1.0
72.36,3.0
115.59,0.0
352.22,4.0
344.57,2.0
246.86,1.0
16.55,3.0
110.97,2.0
185.06,0.0
144.8,2.0
43.2,3.0
358.62,
116.15,2.0
71.83,3.0
205.82,
223.1,2.0
340.91,4.0
259.86,1.0
240.77,2.0
230.1,1.0
94.76,2.0
110.02,2.0
328.67,2.0
332.2,3.0
207.79,0.0
340.95,1.0
264.27,2.0
224.55,1.0
163.03,0.0
127.31,0.0
131.74,0.0
169.96,1.0
351.44,3.0
338.09,4.0
338.25,3.0
319.25,4.0
57.63,4.0
117.62,0.0
151.19,0.0
63.17,1.0
341.05,4.0
221.57,1.0
199.27,2.0
257.1,1.0
308.24,3.0
225.41,1.0
231.94,0.0
244.12,1.0
244.95,0.0
332.67,4.0
116.04,2.0
149.49,2.0
263.91,1.0
290.9,3.0
324.31,3.0
247.08,0.0
324.5,4.0
124.74,1.0
242.11,0.0
221.56,1.0
281.0,0.0
119.45,4.0
6.34,3.0
6.9,3.0
