x_0,y_0,vel_0,accel_0,orientation_0,dist_qb_0,receiver_type_0_WR,defensor_x_0_0,defensor_y_0_0,defensor_vel_0_0,defensor_accel_0_0,defensor_orientation_0_0,defensor_x_0_1,defensor_y_0_1,defensor_vel_0_1,defensor_accel_0_1,defensor_orientation_0_1,x_1,y_1,vel_1,accel_1,orientation_1,dist_qb_1,receiver_type_1_WR,defensor_x_1_0,defensor_y_1_0,defensor_vel_1_0,defensor_accel_1_0,defensor_orientation_1_0,defensor_x_1_1,defensor_y_1_1,defensor_vel_1_1,defensor_accel_1_1,defensor_orientation_1_1,x_2,y_2,vel_2,accel_2,orientation_2,dist_qb_2,receiver_type_2_TE,receiver_type_2_WR,defensor_x_2_0,defensor_y_2_0,defensor_vel_2_0,defensor_accel_2_0,defensor_orientation_2_0,defensor_x_2_1,defensor_y_2_1,defensor_vel_2_1,defensor_accel_2_1,defensor_orientation_2_1,x_3,y_3,vel_3,accel_3,orientation_3,dist_qb_3,receiver_type_3_TE,receiver_type_3_WR,defensor_x_3_0,defensor_y_3_0,defensor_vel_3_0,defensor_accel_3_0,defensor_orientation_3_0,defensor_x_3_1,defensor_y_3_1,defensor_vel_3_1,defensor_accel_3_1,defensor_orientation_3_1,qb_x,qb_y,qb_orientation,qb_speed,qb_direction,qb_accel,amount_of_players_causing_pressure_on_qb,result
91.08,28.34,2.5,0.51,275.29,0.9904039579888597,1,91.04,27.66,2.16,1.98,273.18,91.26,27.68,2.18,2.12,270.5,92.25,28.42,3.15,3.41,190.94,1.6337074401495535,1,92.26,28.49,2.5,3.51,223.87,92.16,28.28,2.34,3.28,235.38,90.5,29.39,2.02,0.66,249.33,0.3883297567789479,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,90.36,32.54,2.11,0.35,304.86,3.2715898275914723,1,0,90.13,32.33,3.71,1.92,161.9,90.47,32.11,3.79,2.06,153.42,90.88,29.31,17.84,0.18,104.1,0.14,0.0,1
91.06,28.09,2.48,0.59,263.99,1.2490396310766114,1,91.04,27.66,2.16,1.98,273.18,91.26,27.68,2.18,2.12,270.5,92.31,28.09,3.45,2.71,185.72,1.8701871564097567,1,92.16,28.28,2.34,3.28,235.38,92.03,28.08,2.26,3.01,245.89,90.45,29.19,2.09,0.44,244.79,0.48083261120684545,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,90.22,32.7,2.15,0.19,303.77,3.4399127895922055,1,0,90.13,32.33,3.71,1.92,161.9,89.78,32.49,3.69,2.1,159.12,90.91,29.33,18.51,0.17,96.39,0.14,0.0,1
92.37,27.74,3.7,2.1,183.55,2.1533694527414537,1,92.03,28.08,2.26,3.01,245.89,91.88,27.94,2.13,2.92,251.04,91.04,27.84,2.45,0.66,239.05,1.5133076356114794,1,91.04,27.66,2.16,1.98,273.18,91.26,27.68,2.18,2.12,270.5,90.4,28.99,2.13,0.31,239.87,0.6489992295835131,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,90.08,32.86,2.14,0.15,303.77,3.6138206928401946,1,0,89.78,32.49,3.69,2.1,159.12,90.13,32.33,3.71,1.92,161.9,90.94,29.35,15.02,0.17,90.41,0.15,0.0,1
92.41,27.36,3.88,1.59,180.74,2.47735746310459,1,91.88,27.94,2.13,2.92,251.04,92.03,28.08,2.26,3.01,245.89,91.01,27.6,2.38,0.87,231.73,1.7901117283566401,1,91.04,27.66,2.16,1.98,273.18,90.82,27.66,2.16,1.95,275.44,90.35,28.77,2.18,0.15,236.29,0.8910667763978197,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.94,33.02,2.14,0.23,303.77,3.7788093362857054,1,0,89.78,32.49,3.69,2.1,159.12,89.42,32.65,3.63,1.98,165.13,90.99,29.39,5.83,0.19,79.93,0.16,0.0,1
92.44,26.97,3.99,1.3,179.22,2.823118842698623,1,91.88,27.94,2.13,2.92,251.04,91.7,27.82,2.1,2.64,256.18,90.97,27.37,2.29,0.97,222.81,2.040612653102003,1,91.04,27.66,2.16,1.98,273.18,90.82,27.66,2.16,1.95,275.44,90.3,28.56,2.21,0.03,235.29,1.113956911195402,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.8,33.18,2.09,0.43,303.13,3.962486593037255,1,0,89.42,32.65,3.63,1.98,165.13,89.78,32.49,3.69,2.1,159.12,91.02,29.41,2.84,0.18,75.77,0.16,0.0,1
92.46,26.57,4.07,1.15,179.9,3.211245864146808,1,91.7,27.82,2.1,2.64,256.18,91.88,27.94,2.13,2.92,251.04,90.93,27.15,2.22,1.06,213.46,2.3136551169091755,1,91.04,27.66,2.16,1.98,273.18,90.82,27.66,2.16,1.95,275.44,90.25,28.35,2.19,0.26,232.16,1.3741178988718552,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.65,33.32,2.04,0.67,302.15,4.109464685333114,1,0,89.42,32.65,3.63,1.98,165.13,89.06,32.77,3.59,1.94,163.43,91.06,29.46,2.84,0.18,68.99,0.17,0.0,1
92.46,26.16,4.12,1.1,184.64,3.591559549833467,1,91.7,27.82,2.1,2.64,256.18,91.47,27.74,2.17,2.53,265.0,90.88,26.94,2.18,0.88,206.93,2.548666317900403,1,90.82,27.66,2.16,1.95,275.44,91.04,27.66,2.16,1.98,273.18,90.2,28.13,2.21,0.18,226.34,1.6169724796668634,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.5,33.46,2.03,0.79,301.41,4.285848807412601,1,0,89.42,32.65,3.63,1.98,165.13,89.06,32.77,3.59,1.94,163.43,91.09,29.48,1.77,0.18,66.12,0.17,0.0,1
92.46,25.74,4.13,1.05,187.91,3.985599076675925,1,91.7,27.82,2.1,2.64,256.18,91.47,27.74,2.17,2.53,265.0,90.83,26.73,2.1,0.86,203.21,2.7741665415039503,1,90.82,27.66,2.16,1.95,275.44,91.04,27.66,2.16,1.98,273.18,90.15,27.91,2.27,0.11,215.49,1.8487833837418548,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.34,33.59,2.01,0.68,300.07,4.465747417846202,1,0,89.06,32.77,3.59,1.94,163.43,89.42,32.65,3.63,1.98,165.13,91.11,29.49,352.43,0.19,62.46,0.31,0.0,1
92.43,25.33,4.15,1.2,190.85,4.377487864060854,1,91.47,27.74,2.17,2.53,265.0,91.7,27.82,2.1,2.64,256.18,90.77,26.53,2.03,0.85,201.07,3.0016662039607276,1,90.82,27.66,2.16,1.95,275.44,91.04,27.66,2.16,1.98,273.18,90.09,27.69,2.32,0.17,204.86,2.096187014557619,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.19,33.71,1.97,0.69,300.07,4.626402490056392,1,0,89.06,32.77,3.59,1.94,163.43,88.68,32.87,3.51,1.8,166.8,91.13,29.51,333.11,0.24,53.87,0.67,0.0,1
92.39,24.91,4.18,1.28,194.93,4.783513353174631,1,91.47,27.74,2.17,2.53,265.0,91.7,27.82,2.1,2.64,256.18,90.71,26.34,1.99,0.73,200.3,3.2202018570269813,1,90.82,27.66,2.16,1.95,275.44,90.58,27.68,2.28,1.65,283.43,90.03,27.46,2.4,0.3,199.29,2.353571753739412,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,89.03,33.83,1.93,0.7,298.12,4.794204835006531,1,0,88.68,32.87,3.51,1.8,166.8,89.06,32.77,3.59,1.94,163.43,91.15,29.53,316.81,0.29,44.6,0.7,0.0,1
92.33,24.49,4.18,1.32,196.59,5.193505559831435,1,91.47,27.74,2.17,2.53,265.0,91.26,27.68,2.18,2.12,270.5,90.65,26.15,1.96,0.67,197.15,3.438037230746637,1,90.82,27.66,2.16,1.95,275.44,90.58,27.68,2.28,1.65,283.43,89.97,27.22,2.52,0.5,196.4,2.6162950903902265,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,88.88,33.94,1.85,0.82,296.21,4.9467666207331815,1,0,88.88,34.96,5.29,1.05,135.22,89.38,34.84,5.1,1.8,139.13,91.16,29.55,308.3,0.29,39.08,0.42,0.0,1
92.25,24.08,4.21,1.29,196.59,5.585409564212816,1,91.26,27.68,2.18,2.12,270.5,91.47,27.74,2.17,2.53,265.0,90.58,25.97,1.92,0.6,195.99,3.638158875035559,1,90.82,27.66,2.16,1.95,275.44,90.58,27.68,2.28,1.65,283.43,89.9,26.96,2.73,0.94,195.77,2.8935963782117193,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,88.72,34.04,1.8,1.0,292.45,5.106162942954329,1,0,88.88,34.96,5.29,1.05,135.22,89.38,34.84,5.1,1.8,139.13,91.17,29.56,302.64,0.22,31.68,0.3,0.0,1
92.16,23.66,4.23,1.14,198.66,6.0005666399099304,1,88.56,25.54,0.91,2.68,17.6,88.51,25.47,1.09,2.88,13.98,90.51,25.79,1.85,0.68,198.9,3.8487660360172575,1,90.58,27.68,2.28,1.65,283.43,90.82,27.66,2.16,1.95,275.44,89.82,26.69,2.84,0.9,195.77,3.194010018769512,0,1,90.09,27.78,2.44,1.11,290.58,90.34,27.72,2.34,1.41,290.58,88.56,34.12,1.75,1.07,288.66,5.241755431150906,1,0,88.88,34.96,5.29,1.05,135.22,88.36,35.08,5.41,0.21,138.07,91.18,29.58,297.53,0.17,6.33,0.58,0.0,1
92.06,23.24,4.26,1.06,201.34,6.413462403413622,1,88.56,25.54,0.91,2.68,17.6,88.51,25.47,1.09,2.88,13.98,90.44,25.63,1.78,0.87,201.17,4.024922359499622,1,88.57,25.59,0.58,2.91,14.61,88.56,25.54,0.91,2.68,17.6,89.74,26.41,3.0,0.98,193.47,3.48264267475146,0,1,90.09,27.78,2.44,1.11,290.58,88.55,25.63,0.5,2.82,11.58,88.4,34.19,1.69,1.35,287.1,5.36447574325767,1,0,88.36,35.08,5.41,0.21,138.07,88.88,34.96,5.29,1.05,135.22,91.16,29.59,293.03,0.13,310.41,0.87,0.0,1
91.95,22.83,4.26,0.98,198.67,6.7984262884876525,1,88.51,25.47,1.09,2.88,13.98,88.56,25.54,0.91,2.68,17.6,90.36,25.47,1.75,0.85,203.63,4.183359893673983,1,88.57,25.59,0.58,2.91,14.61,88.56,25.54,0.91,2.68,17.6,89.65,26.11,3.18,1.0,189.86,3.7763739221639554,0,1,88.57,25.59,0.58,2.91,14.61,88.55,25.63,0.5,2.82,11.58,88.25,34.25,1.64,1.17,283.29,5.491903130973817,1,0,88.36,35.08,5.41,0.21,138.07,88.88,34.96,5.29,1.05,135.22,91.14,29.58,288.85,0.21,268.39,0.81,0.0,1
91.83,22.42,4.29,0.74,201.13,7.185165272977371,1,88.51,25.47,1.09,2.88,13.98,88.44,25.4,1.39,3.06,13.98,90.27,25.32,1.72,0.86,208.83,4.334166586553868,1,88.57,25.59,0.58,2.91,14.61,88.56,25.54,0.91,2.68,17.6,89.55,25.8,3.34,0.95,189.86,4.083846226292074,0,1,88.57,25.59,0.58,2.91,14.61,88.55,25.63,0.5,2.82,11.58,88.1,34.3,1.59,1.05,281.23,5.611889164978228,1,0,88.36,35.08,5.41,0.21,138.07,87.83,35.21,5.43,0.75,144.54,91.12,29.57,286.88,0.31,253.24,0.62,0.0,1
91.7,22.0,4.36,0.53,202.97,7.585380676010927,1,88.44,25.4,1.39,3.06,13.98,88.51,25.47,1.09,2.88,13.98,90.19,25.17,1.71,0.58,218.86,4.479307982266901,1,88.56,25.54,0.91,2.68,17.6,88.57,25.59,0.58,2.91,14.61,89.46,25.47,3.45,0.84,189.09,4.399147644714827,0,1,88.57,25.59,0.58,2.91,14.61,88.56,25.54,0.91,2.68,17.6,87.95,34.35,1.53,0.81,279.37,5.721975183448457,1,0,88.36,35.08,5.41,0.21,138.07,87.83,35.21,5.43,0.75,144.54,91.08,29.56,279.8,0.37,251.8,0.41,0.0,1
91.57,21.58,4.39,0.48,204.39,7.997580884242434,1,88.44,25.4,1.39,3.06,13.98,88.51,25.47,1.09,2.88,13.98,90.1,25.02,1.68,0.51,225.5,4.6362916215441,1,88.56,25.54,0.91,2.68,17.6,88.57,25.59,0.58,2.91,14.61,89.36,25.13,3.56,0.65,190.74,4.7378581658804455,0,1,88.56,25.54,0.91,2.68,17.6,88.57,25.59,0.58,2.91,14.61,87.8,34.39,1.49,0.62,276.57,5.816055364248184,1,0,87.83,35.21,5.43,0.75,144.54,88.36,35.08,5.41,0.21,138.07,91.04,29.56,279.8,0.41,253.86,0.23,0.0,1
91.43,21.16,4.39,0.48,209.61,8.411515915695576,1,88.44,25.4,1.39,3.06,13.98,88.32,25.32,1.68,3.19,15.81,89.26,24.78,3.68,0.63,192.47,5.083433878787049,1,88.51,25.47,1.09,2.88,13.98,88.44,25.4,1.39,3.06,13.98,90.01,24.88,1.7,0.44,233.17,4.781506038896111,0,1,88.56,25.54,0.91,2.68,17.6,88.57,25.59,0.58,2.91,14.61,87.66,34.43,1.44,0.57,273.55,5.899644057059714,1,0,87.83,35.21,5.43,0.75,144.54,88.36,35.08,5.41,0.21,138.07,90.99,29.56,277.75,0.43,257.07,0.1,0.0,1
91.29,20.74,4.37,0.55,211.38,8.817352210272654,1,88.32,25.32,1.68,3.19,15.81,88.44,25.4,1.39,3.06,13.98,89.17,24.42,3.74,0.38,196.79,5.4235136212606685,1,88.44,25.4,1.39,3.06,13.98,88.32,25.32,1.68,3.19,15.81,89.91,24.74,1.68,0.43,239.86,4.916960443200661,0,1,88.56,25.54,0.91,2.68,17.6,88.51,25.47,1.09,2.88,13.98,87.52,34.47,1.38,0.62,271.27,5.986192445954278,1,0,87.83,35.21,5.43,0.75,144.54,87.31,35.33,5.35,1.77,145.4,90.93,29.55,276.81,0.47,257.59,0.07,0.0,1
91.14,20.33,4.33,0.62,218.24,9.213956804760917,1,88.32,25.32,1.68,3.19,15.81,88.44,25.4,1.39,3.06,13.98,89.07,24.05,3.79,0.22,200.41,5.777551384453455,1,88.32,25.32,1.68,3.19,15.81,88.44,25.4,1.39,3.06,13.98,89.81,24.6,1.68,0.45,245.27,5.052444952693693,0,1,88.56,25.54,0.91,2.68,17.6,88.51,25.47,1.09,2.88,13.98,87.4,34.5,1.22,0.93,266.5,6.053304882458837,1,0,87.83,35.21,5.43,0.75,144.54,87.31,35.33,5.35,1.77,145.4,90.87,29.54,276.23,0.48,258.68,0.13,0.0,1
91.0,19.92,4.32,0.63,220.4,9.631874168613292,1,88.32,25.32,1.68,3.19,15.81,88.17,25.25,2.04,2.89,15.81,88.97,23.69,3.8,0.17,202.48,6.142084336770377,1,88.17,25.25,2.04,2.89,15.81,88.32,25.32,1.68,3.19,15.81,89.71,24.47,1.64,0.56,247.4,5.197730273879171,0,1,88.51,25.47,1.09,2.88,13.98,88.56,25.54,0.91,2.68,17.6,87.29,34.54,1.14,0.88,265.5,6.106594795792493,1,0,87.31,35.33,5.35,1.77,145.4,87.83,35.21,5.43,0.75,144.54,90.81,29.55,276.23,0.5,262.27,0.2,0.0,1
90.85,19.52,4.28,0.72,224.34,10.040602571559138,1,88.17,25.25,2.04,2.89,15.81,88.32,25.32,1.68,3.19,15.81,88.87,23.31,3.82,0.3,201.23,6.523756586507498,1,88.17,25.25,2.04,2.89,15.81,87.98,25.19,2.37,2.5,22.49,89.61,24.35,1.59,0.57,248.21,5.3311349635888945,0,1,88.51,25.47,1.09,2.88,13.98,88.44,25.4,1.39,3.06,13.98,87.18,34.57,1.08,0.79,264.14,6.146031239751384,1,0,87.31,35.33,5.35,1.77,145.4,87.83,35.21,5.43,0.75,144.54,90.74,29.56,267.01,0.51,265.95,0.14,0.0,1
90.7,19.12,4.28,0.6,224.34,10.450004784687899,1,88.17,25.25,2.04,2.89,15.81,88.32,25.32,1.68,3.19,15.81,88.78,22.95,3.76,0.58,203.85,6.890029027515051,1,87.98,25.19,2.37,2.5,22.49,88.17,25.25,2.04,2.89,15.81,89.5,24.23,1.59,0.54,250.8,5.470987113857973,0,1,88.44,25.4,1.39,3.06,13.98,88.51,25.47,1.09,2.88,13.98,87.08,34.59,1.0,0.8,262.48,6.183243485420903,1,0,87.31,35.33,5.35,1.77,145.4,86.79,35.45,5.21,3.12,143.22,90.69,29.57,265.21,0.53,271.22,0.46,0.0,1
90.55,18.72,4.24,0.66,224.34,10.850294926867196,1,88.17,25.25,2.04,2.89,15.81,87.98,25.19,2.37,2.5,22.49,88.68,22.59,3.65,0.95,207.58,7.247268450940669,1,87.98,25.19,2.37,2.5,22.49,88.17,25.25,2.04,2.89,15.81,89.39,24.11,1.57,0.49,251.49,5.599035631249367,0,1,88.44,25.4,1.39,3.06,13.98,88.32,25.32,1.68,3.19,15.81,86.98,34.6,0.93,0.95,262.48,6.214772723117068,1,0,87.31,35.33,5.35,1.77,145.4,86.79,35.45,5.21,3.12,143.22,90.63,29.57,263.76,0.57,277.41,0.68,0.0,1
90.4,18.32,4.2,0.67,221.68,11.261283230609198,1,88.17,25.25,2.04,2.89,15.81,87.98,25.19,2.37,2.5,22.49,88.59,22.24,3.54,1.21,213.56,7.602368052126913,1,87.98,25.19,2.37,2.5,22.49,88.17,25.25,2.04,2.89,15.81,89.29,23.99,1.55,0.42,250.69,5.734675230560137,0,1,88.32,25.32,1.68,3.19,15.81,88.44,25.4,1.39,3.06,13.98,86.89,34.6,0.89,0.96,262.48,6.2243714542112585,1,0,87.31,35.33,5.35,1.77,145.4,86.79,35.45,5.21,3.12,143.22,90.57,29.58,262.45,0.62,281.59,0.65,0.0,1
90.25,17.93,4.18,0.66,221.68,11.672895956017086,1,87.98,25.19,2.37,2.5,22.49,88.17,25.25,2.04,2.89,15.81,88.5,21.9,3.44,1.27,217.7,7.95802111080387,1,87.98,25.19,2.37,2.5,22.49,87.74,25.16,2.62,2.39,27.12,89.18,23.88,1.51,0.43,250.69,5.872588866930839,0,1,88.32,25.32,1.68,3.19,15.81,88.44,25.4,1.39,3.06,13.98,86.8,34.58,0.87,1.03,262.48,6.210032206035652,1,0,86.79,35.45,5.21,3.12,143.22,87.31,35.33,5.35,1.77,145.4,90.51,29.6,260.49,0.66,284.7,0.55,0.0,1
90.1,17.54,4.15,0.65,226.43,12.075073498741116,1,87.98,25.19,2.37,2.5,22.49,88.17,25.25,2.04,2.89,15.81,88.41,21.58,3.33,1.33,217.7,8.285076945931163,1,87.98,25.19,2.37,2.5,22.49,87.74,25.16,2.62,2.39,27.12,89.08,23.77,1.5,0.36,250.69,5.998541489395569,0,1,88.32,25.32,1.68,3.19,15.81,88.17,25.25,2.04,2.89,15.81,86.72,34.56,0.91,0.95,262.48,6.198015811531951,1,0,86.79,35.45,5.21,3.12,143.22,87.31,35.33,5.35,1.77,145.4,90.45,29.61,258.6,0.67,284.22,0.27,0.0,1
89.95,17.16,4.1,0.77,227.68,12.477760215679735,1,87.98,25.19,2.37,2.5,22.49,88.17,25.25,2.04,2.89,15.81,88.32,21.26,3.24,1.26,218.97,8.62216910063819,1,87.74,25.16,2.62,2.39,27.12,87.98,25.19,2.37,2.5,22.49,88.98,23.66,1.45,0.48,249.96,6.134248120185552,0,1,88.17,25.25,2.04,2.89,15.81,88.32,25.32,1.68,3.19,15.81,86.63,34.52,0.91,0.67,263.26,6.168443888048272,1,0,86.79,35.45,5.21,3.12,143.22,87.31,35.33,5.35,1.77,145.4,90.39,29.63,256.44,0.62,286.65,0.17,0.0,1
89.81,16.77,4.07,0.75,227.68,12.890899891008385,1,81.91,19.52,1.4,0.23,55.48,81.86,19.39,1.43,0.19,55.48,88.23,20.96,3.16,1.11,218.97,8.942494059265568,1,87.74,25.16,2.62,2.39,27.12,87.98,25.19,2.37,2.5,22.49,88.87,23.56,1.45,0.42,251.06,6.264902233874045,0,1,88.17,25.25,2.04,2.89,15.81,88.32,25.32,1.68,3.19,15.81,86.55,34.49,0.89,0.38,264.0,6.147332754943406,1,0,86.79,35.45,5.21,3.12,143.22,86.3,35.56,4.82,3.7,136.3,90.34,29.65,256.44,0.53,287.82,0.46,0.0,1
89.66,16.4,4.01,0.82,224.94,13.274957627051021,1,81.86,19.39,1.43,0.19,55.48,81.91,19.52,1.4,0.23,55.48,88.13,20.66,3.06,1.08,220.57,9.25557129517136,1,87.74,25.16,2.62,2.39,27.12,87.98,25.19,2.37,2.5,22.49,88.76,23.47,1.42,0.48,254.36,6.3762841843819995,0,1,88.17,25.25,2.04,2.89,15.81,87.98,25.19,2.37,2.5,22.49,86.47,34.47,0.83,0.27,265.03,6.142352969343267,1,0,86.79,35.45,5.21,3.12,143.22,86.3,35.56,4.82,3.7,136.3,90.29,29.66,256.44,0.46,289.56,0.62,0.0,1
89.51,16.02,4.03,0.62,230.09,13.680029239734832,1,81.71,19.0,1.34,1.49,60.83,81.76,19.13,1.35,0.82,56.97,88.05,20.37,2.93,1.17,224.13,9.566404758319607,1,87.74,25.16,2.62,2.39,27.12,87.98,25.19,2.37,2.5,22.49,88.66,23.38,1.36,0.7,255.08,6.497545690489604,0,1,88.17,25.25,2.04,2.89,15.81,87.98,25.19,2.37,2.5,22.49,86.4,34.45,0.7,0.72,265.03,6.129877649676215,1,0,86.79,35.45,5.21,3.12,143.22,86.3,35.56,4.82,3.7,136.3,90.25,29.68,257.43,0.37,289.72,0.76,0.0,1
89.37,15.64,4.0,0.65,232.77,14.076295677485609,1,81.71,19.0,1.34,1.49,60.83,81.66,18.89,1.2,1.81,65.12,87.96,20.1,2.78,1.33,227.48,9.85499873160824,1,87.74,25.16,2.62,2.39,27.12,87.47,25.16,2.83,2.25,30.44,88.55,23.3,1.31,0.72,256.11,6.607155212343662,0,1,87.98,25.19,2.37,2.5,22.49,88.17,25.25,2.04,2.89,15.81,86.33,34.44,0.63,0.97,265.03,6.145933615001061,1,0,86.79,35.45,5.21,3.12,143.22,86.3,35.56,4.82,3.7,136.3,90.23,29.69,256.29,0.28,301.09,0.82,0.0,1
89.22,15.26,3.99,0.63,229.78,14.47389719460519,1,81.66,18.89,1.2,1.81,65.12,81.61,18.79,0.98,2.05,69.03,87.88,19.84,2.63,1.49,229.11,10.131559603535873,1,87.74,25.16,2.62,2.39,27.12,82.91,21.77,1.85,0.77,71.9,88.44,23.22,1.29,0.7,256.11,6.7173878851827515,0,1,87.98,25.19,2.37,2.5,22.49,88.17,25.25,2.04,2.89,15.81,86.27,34.43,0.57,0.97,263.49,6.15601332032347,1,0,86.3,35.56,4.82,3.7,136.3,86.79,35.45,5.21,3.12,143.22,90.21,29.7,252.4,0.15,298.37,0.93,0.0,1
89.08,14.89,3.95,0.68,228.58,14.862260931634864,1,81.57,18.71,0.77,2.22,72.41,81.61,18.79,0.98,2.05,69.03,87.79,19.6,2.49,1.53,230.25,10.393276672926588,1,82.84,21.59,1.93,0.33,71.32,82.91,21.77,1.85,0.77,71.9,88.34,23.15,1.27,0.45,258.03,6.81859223007213,0,1,87.98,25.19,2.37,2.5,22.49,87.74,25.16,2.62,2.39,27.12,86.23,34.44,0.43,1.09,262.15,6.175257079668826,1,0,86.3,35.56,4.82,3.7,136.3,86.79,35.45,5.21,3.12,143.22,90.2,29.71,252.4,0.05,297.31,0.94,0.0,1
88.94,14.52,3.92,0.68,228.58,15.242168480895364,1,81.57,18.71,0.77,2.22,72.41,81.61,18.79,0.98,2.05,69.03,87.71,19.37,2.29,1.77,232.51,10.635586490645451,1,82.84,21.59,1.93,0.33,71.32,82.69,21.24,1.93,1.71,71.88,88.23,23.08,1.29,0.17,257.4,6.9164875478815135,0,1,87.98,25.19,2.37,2.5,22.49,87.74,25.16,2.62,2.39,27.12,86.19,34.43,0.34,0.94,263.78,6.193423931881301,1,0,86.3,35.56,4.82,3.7,136.3,86.79,35.45,5.21,3.12,143.22,90.2,29.71,250.53,0.05,128.16,0.91,0.0,1
